Artist,Title,Mood
Prince,1999,Happy
Blonde Redhead,23,Sad
Damien Rice,9 Crimes,Sad
Nena,99 Luftballons,Happy
Underoath,A Boy Brushed Red Living In Black And White,Energetic
Emmanuelle Rimbaud,A Burden to Bear,Calm
Ron Adelaar,A La Plage,Calm
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,Happy
Linkin Park,A Place for My Head,Energetic
Thirty Seconds To Mars,ATTACK,Energetic
Lucas & Steve,Adagio For Strings,Energetic
Josie Mehlin,Adjustments,Calm
Cooper Sams,Adrift,Calm
Billy Talent,Afraid of Heights,Energetic
TOTO,Africa,Happy
Comet Blue,After The Rain,Calm
Avenged Sevenfold,Afterlife,Energetic
One Sentence. Supervisor,Algo Rhythm,Sad
Slowdive,Alison,Sad
Paris Blohm,Alive,Energetic
Kodaline,All I Want,Sad
Angel Olsen,All Mirrors,Sad
Bullet For My Valentine,All These Things I Hate (Revolve Around Me),Energetic
Stone Temple Pilots,All in the Suit That You Wear,Energetic
John Legend,All of Me,Sad
Lost Frequencies,All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Happy
Saliva,Always,Energetic
Nils Frahm,Ambre,Calm
Alexi Musnitsky,Anaviosi,Calm
Novo Amor,Anchor,Sad
Weyes Blood,Andromeda,Sad
Arlo Parks,Angel's Song,Sad
Alice In Chains,Angry Chair,Energetic
EDX,Anthem,Happy
Story Of The Year,Anthem of Our Dying Day,Energetic
Jet,Are You Gonna Be My Girl,Happy
Tobtok,As I Sleep (feat. Charlee),Energetic
Warpaint,Ashes to Ashes,Sad
Hugar,Atlavík,Calm
Toledo Rains,Auburn Sky,Calm
William Duhamel,Awaken,Calm
Puddle Of Mudd,Away From Me,Energetic
Otto Knows,Back Where I Belong (feat. Avicii),Energetic
Ton Snijders,Back+,Calm
Muzz,Bad Feeling,Sad
May,Bad Kingdom,Sad
Arlo Day,Bad Timing,Sad
Father John Misty,Ballad of the Dying Man,Sad
YuMe,Balloon,Calm
Avenged Sevenfold,Bat Country,Energetic
Bilo 503,Bayybe 07,Calm
The 1975,Be My Mistake,Sad
Lost Frequencies,Beautiful Life,Happy
Burden Brothers,Beautiful Night,Energetic
Job Roggeveen,Beekweide,Calm
Lewis Capaldi,Before You Go,Sad
Elton John,Bennie And The Jets - Remastered 2014,Happy
Rhys Lewis,Better Than Today,Sad
Jack Johnson,Better Together,Happy
Wilson Trouvé,Betty,Calm
Jeremy Olander,Billinghurst,Energetic
Billie Marten,Bird,Sad
Grandaddy,Bison on the Plains,Sad
Beach House,Black Car,Sad
(Hed) P.E.,Blackout,Energetic
Manse,Blame,Energetic
Marc Benjamin,Blaster,Energetic
Jimmy Eat World,Bleed American,Energetic
SOAK,Bloodbuzz Ohio,Sad
Hilder Sky,Bloom,Calm
Fink,Bloom Innocent,Sad
Yves V,Blow,Happy
Bingo Players,Body Rock,Happy
Limp Bizkit,Boiler,Energetic
Erik Reno,Bortom Träden,Calm
Isaac Elton,Bottom Of The Sea,Happy
Smile Empty Soul,Bottom of a Bottle,Energetic
La Acacia,Bouquet with Lilies,Calm
Limp Bizkit,Break Stuff,Energetic
Hans Voller,Breathe,Calm
Sia,Breathe Me,Sad
Fatboy Slim,Brimful of Asha - Norman Cook Remix,Happy
Lewis Capaldi,Bruises,Sad
Crazy Town,Butterfly,Happy
Ella van der Woude,Bye Bye Little House,Calm
The Mamas & The Papas,California Dreamin',Happy
Night Sounds,Calm Wilderness,Calm
Armor For Sleep,Car Underwater,Energetic
Beach House,Chariot,Sad
Blasterjaxx,Children Of Today,Energetic
The 1975,Chocolate,Happy
System Of A Down,Chop Suey!,Energetic
Marlies du Mosch,City Lights,Calm
Sia,Clap Your Hands,Happy
Jacco Wynia,Cleansing,Calm
Dhyana Thomas,Clear Skies,Calm
Saliva,Click Click Boom,Energetic
Jakob Ahlbom,Coda,Calm
Mumford & Sons,Cold Arms,Sad
Camo Columbo,Cold Nights,Sad
Kaskade,Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Energetic
Barulinho,Colgando,Calm
Evin Iris,Collapse Into Light,Calm
The Offspring,Come Out And Play (Keep ‘Em Separated),Energetic
Zoe Connelly,Coming Home,Calm
Korn,Coming Undone,Energetic
Camila Cabello,Consequences,Sad
Lucy Rose,Conversation,Sad
Autoerotique,Count On You - ATFC's C-thru Remix,Happy
Steff da Campo,Count That - R3HAB Edit,Energetic
Ian Wong,Courage,Calm
Chris Malinchak,Crash,Happy
Hoobastank,Crawling In The Dark,Energetic
Gnarls Barkley,Crazy,Happy
The Osmonds,Crazy Horses,Happy
Radiohead,Creep,Sad
The Tides,Crossing,Calm
Third Eye Blind,Crystal Baller - 2006 Remaster,Energetic
Dean Valio,Crystal Shores,Calm
Beau Projet,Curiosity,Calm
Michael Orvind,Curious Morning,Calm
Billie Marten,Cursive,Sad
Clouseau,Daar Gaat Ze,Happy
Terence Trent D'Arby,Dance Little Sister,Happy
Calum Scott,Dancing On My Own,Sad
AFI,Dancing Through Sunday,Energetic
Sasha Sloan,Dancing With Your Ghost,Sad
Ellie Rose,Dancing With an Astronaut,Sad
Red Hot Chili Peppers,Dani California,Energetic
The National,Dark Side of the Gym,Sad
Low Roar,Darkest Hour,Sad
Light of Sun,Dawning,Calm
Tom Misch,Day 5: For Carol,Calm
Les Manger Tous,De Fléche,Calm
Anthony Ramos,Dear Diary,Sad
Nicky Romero,Deep Dark Jungle,Happy
Thomas Jackson,Den inre skogen,Calm
Lush,Desire Lines,Sad
Bayside,Devotion And Desire,Energetic
Pieter de Graaf,Dew Drops,Calm
The Soft Cavalry,Dive,Sad
KSHMR,Do Bad Well (feat. Nevve),Energetic
Steve Aoki,Do It Again,Energetic
ROSALÍA,Dolerme,Sad
Fleetwood Mac,Don't Stop,Happy
Queen,Don't Stop Me Now - 2011 Mix,Happy
Simple Minds,Don't You (Forget About Me) - Remastered,Happy
Wolf Alice,Don’t Delete The Kisses,Sad
Creedence Clearwater Revival,Down On The Corner,Happy
Rob Zombie,Dragula,Energetic
Alvvays,Dreams Tonite,Sad
Eroded Sky,Drifting,Calm
Sniff 'n' The Tears,Driver's Seat,Happy
Slipknot,Duality,Energetic
3 Doors Down,Duck And Run,Energetic
Bombay Bicycle Club,Dust On The Ground,Sad
FTampa,EDM Sux,Energetic
Ansatz Der Maschine,Eagle,Calm
Bruno Major,Easily,Sad
Philip Bailey,Easy Lover,Happy
Anna Calvi,Eden - Hunted Version,Sad
Stevie Nicks,Edge of Seventeen,Happy
Monocle Twins,Eidolon,Calm
k?d,Electronic Memories (feat. Mickey Kojak),Energetic
Jaakko Eino Kalevi,Emotions in Motion,Sad
Golden Sleep,Empty Street at Night,Calm
Sevendust,Enemy,Energetic
Benjamin Martins,Escaping Time,Calm
Peals,Essential Attitudes,Calm
Airwaves,Event Horizon,Calm
Antonio Giacca,Every Way,Energetic
R.E.M.,Everybody Hurts,Sad
Various Artists,Everyday People,Happy
Skytech,Expedition,Happy
Scary Kids Scaring Kids,Faces,Energetic
Harry Styles,Falling,Sad
Slowdive,Falling Ashes,Sad
Tiz McNamara,Falling Asleep,Sad
Korn,Falling Away from Me,Energetic
Sofie Tukker,Fantasy - R3HAB Remix,Energetic
Alphabeat,Fascination,Happy
blink-182,Feeling This,Energetic
Elementaries,Feels Like Flying,Calm
